founded_year,total,ai,ai_pct
2000,28982,879,3.0
2001,27239,775,2.8
2002,26110,715,2.7
2003,27964,794,2.8
2004,29358,901,3.1
2005,30597,1021,3.3
2006,31454,1100,3.5
2007,33749,1295,3.8
2008,35054,1441,4.1
2009,37584,1720,4.6
2010,41588,2016,4.8
2011,40674,2386,5.9
2012,44838,2987,6.7
2013,45579,3598,7.9
2014,50540,4611,9.1
2015,54339,5790,10.7
2016,52697,7025,13.3
2017,53654,7972,14.9
2018,50820,8105,15.9
2019,44893,7655,17.1
2020,43404,7520,17.3
2021,36342,6891,19.0
2022,23095,5885,25.5
2023,18113,7865,43.4
2024,10817,5612,51.9
2025,2763,1611,58.3
