country,total,ai,ai_pct,ai_since_2020,ai_share_of_global
United States,376120,48846,13.0,17357,43.72
India,62909,6687,10.6,1793,5.99
United Kingdom,70329,6616,9.4,1750,5.92
Canada,37341,5061,13.6,1686,4.53
China,28966,4238,14.6,640,3.79
Germany,31647,3677,11.6,912,3.29
Japan,22468,3008,13.4,927,2.69
France,28788,2749,9.5,576,2.46
Israel,8116,1922,23.7,430,1.72
Italy,16685,1835,11.0,379,1.64
Brazil,21135,1832,8.7,369,1.64
Spain,16441,1743,10.6,346,1.56
South Korea,11104,1743,15.7,387,1.56
Australia,23084,1716,7.4,398,1.54
Singapore,9179,1489,16.2,486,1.33
Netherlands,18027,1461,8.1,335,1.31
Switzerland,11235,1190,10.6,315,1.07
Sweden,11715,869,7.4,169,0.78
Turkey,8539,866,10.1,297,0.78
United Arab Emirates,7015,806,11.5,330,0.72
Poland,6285,709,11.3,142,0.63
Belgium,6244,596,9.5,106,0.53
Denmark,6170,580,9.4,113,0.52
Mexico,7229,558,7.7,151,0.5
Hong Kong,3941,555,14.1,120,0.5
Finland,4675,541,11.6,111,0.48
Ireland,4689,485,10.3,119,0.43
Austria,3434,459,13.4,109,0.41
Portugal,3738,424,11.3,100,0.38
Russia,4468,412,9.2,29,0.37
Norway,5064,411,8.1,72,0.37
South Africa,6121,399,6.5,64,0.36
Colombia,3796,380,10.0,92,0.34
Taiwan,1985,374,18.8,61,0.33
Saudi Arabia,1866,340,18.2,105,0.3
Chile,2597,334,12.9,90,0.3
Estonia,2191,317,14.5,119,0.28
Indonesia,5446,310,5.7,80,0.28
Czech Republic,2844,298,10.5,66,0.27
Argentina,3195,293,9.2,55,0.26
Greece,1985,286,14.4,24,0.26
Vietnam,3281,275,8.4,72,0.25
Ukraine,2942,264,9.0,50,0.24
Romania,770,260,33.8,50,0.23
Pakistan,2787,254,9.1,89,0.23
New Zealand,3380,251,7.4,48,0.22
Malaysia,3363,242,7.2,52,0.22
Nigeria,2819,232,8.2,80,0.21
Hungary,1662,187,11.3,26,0.17
Sri Lanka,309,159,51.5,94,0.14
Thailand,1740,147,8.4,27,0.13
Kenya,1393,146,10.5,47,0.13
Bulgaria,1311,144,11.0,33,0.13
Lithuania,1390,142,10.2,47,0.13
Egypt,1833,134,7.3,40,0.12
Cyprus,130,123,94.6,19,0.11
Slovakia,261,109,41.8,22,0.1
Bangladesh,1945,97,5.0,32,0.09
Luxembourg,412,97,23.5,26,0.09
Philippines,1919,94,4.9,25,0.08
Serbia,846,87,10.3,18,0.08
Croatia,882,77,8.7,12,0.07
Slovenia,655,72,11.0,5,0.06
Latvia,679,68,10.0,17,0.06
Peru,812,62,7.6,16,0.06
Uruguay,398,55,13.8,21,0.05
Ghana,529,47,8.9,17,0.04
Kazakhstan,328,46,14.0,22,0.04
Morocco,542,44,8.1,18,0.04
Iceland,160,42,26.3,7,0.04
Armenia,289,40,13.8,9,0.04
Jordan,526,36,6.8,9,0.03
Lebanon,528,31,5.9,2,0.03
Uganda,375,30,8.0,10,0.03
Georgia,272,28,10.3,12,0.03
Ecuador,320,27,8.4,7,0.02
Qatar,391,26,6.6,16,0.02
Cameroon,166,23,13.9,10,0.02
Nepal,359,20,5.6,3,0.02
Azerbaijan,247,18,7.3,8,0.02
Panama,320,18,5.6,5,0.02
Mongolia,138,14,10.1,5,0.01
Kuwait,298,10,3.4,3,0.01
Ethiopia,215,10,4.7,1,0.01
Zambia,122,7,5.7,3,0.01
Uzbekistan,112,7,6.3,4,0.01
Senegal,126,4,3.2,1,0.0
