country,founded_year,total,ai,ai_pct
Australia,2015,1400,78,5.6
Australia,2016,1437,123,8.6
Australia,2017,1442,155,10.7
Australia,2018,1232,139,11.3
Australia,2019,999,131,13.1
Australia,2020,967,114,11.8
Australia,2021,745,95,12.8
Australia,2022,368,57,15.5
Australia,2023,262,89,34.0
Australia,2024,108,39,36.1
Australia,2025,16,4,25.0
Brazil,2015,1265,82,6.5
Brazil,2016,1236,142,11.5
Brazil,2017,1271,159,12.5
Brazil,2018,1200,163,13.6
Brazil,2019,929,105,11.3
Brazil,2020,841,104,12.4
Brazil,2021,553,98,17.7
Brazil,2022,280,62,22.1
Brazil,2023,186,63,33.9
Brazil,2024,75,38,50.7
Brazil,2025,16,4,25.0
Canada,2015,2000,240,12.0
Canada,2016,2049,306,14.9
Canada,2017,2216,370,16.7
Canada,2018,2183,398,18.2
Canada,2019,1983,386,19.5
Canada,2020,2129,402,18.9
Canada,2021,1633,344,21.1
Canada,2022,1008,282,28.0
Canada,2023,840,354,42.1
Canada,2024,468,244,52.1
Canada,2025,102,60,58.8
China,2015,2374,418,17.6
China,2016,1767,440,24.9
China,2017,1466,379,25.9
China,2018,1251,321,25.7
China,2019,886,190,21.4
China,2020,735,166,22.6
China,2021,774,173,22.4
China,2022,397,110,27.7
China,2023,238,125,52.5
China,2024,92,58,63.0
China,2025,11,8,72.7
France,2015,1481,153,10.3
France,2016,1526,204,13.4
France,2017,1424,218,15.3
France,2018,1272,169,13.3
France,2019,1080,184,17.0
France,2020,1067,156,14.6
France,2021,834,110,13.2
France,2022,492,111,22.6
France,2023,306,117,38.2
France,2024,164,68,41.5
France,2025,26,12,46.2
Germany,2015,1484,172,11.6
Germany,2016,1547,210,13.6
Germany,2017,1494,209,14.0
Germany,2018,1524,251,16.5
Germany,2019,1473,258,17.5
Germany,2020,1404,255,18.2
Germany,2021,1234,248,20.1
Germany,2022,688,169,24.6
Germany,2023,366,141,38.5
Germany,2024,212,89,42.0
Germany,2025,26,9,34.6
India,2015,4731,451,9.5
India,2016,4635,495,10.7
India,2017,4459,559,12.5
India,2018,4178,585,14.0
India,2019,3691,539,14.6
India,2020,3699,496,13.4
India,2021,3007,470,15.6
India,2022,1492,312,20.9
India,2023,958,326,34.0
India,2024,483,172,35.6
India,2025,37,16,43.2
Israel,2015,543,118,21.7
Israel,2016,584,155,26.5
Israel,2017,615,199,32.4
Israel,2018,594,199,33.5
Israel,2019,453,161,35.5
Israel,2020,449,155,34.5
Israel,2021,369,120,32.5
Israel,2022,204,74,36.3
Israel,2023,100,55,55.0
Israel,2024,34,21,61.8
Israel,2025,5,5,100.0
Italy,2015,812,61,7.5
Italy,2016,790,78,9.9
Italy,2017,914,122,13.3
Italy,2018,850,102,12.0
Italy,2019,788,113,14.3
Italy,2020,754,115,15.3
Italy,2021,749,121,16.2
Italy,2022,334,72,21.6
Italy,2023,116,39,33.6
Italy,2024,55,30,54.5
Italy,2025,11,2,18.2
Japan,2015,1005,116,11.5
Japan,2016,1018,147,14.4
Japan,2017,1065,182,17.1
Japan,2018,1237,217,17.5
Japan,2019,1154,215,18.6
Japan,2020,1126,199,17.7
Japan,2021,1043,185,17.7
Japan,2022,849,172,20.3
Japan,2023,721,269,37.3
Japan,2024,237,86,36.3
Japan,2025,58,15,25.9
Mexico,2015,473,26,5.5
Mexico,2016,412,32,7.8
Mexico,2017,481,44,9.1
Mexico,2018,363,41,11.3
Mexico,2019,347,29,8.4
Mexico,2020,300,43,14.3
Mexico,2021,236,34,14.4
Mexico,2022,127,24,18.9
Mexico,2023,95,38,40.0
Mexico,2024,40,8,20.0
Mexico,2025,9,4,44.4
Netherlands,2015,1098,76,6.9
Netherlands,2016,1039,101,9.7
Netherlands,2017,1018,98,9.6
Netherlands,2018,976,122,12.5
Netherlands,2019,758,101,13.3
Netherlands,2020,557,92,16.5
Netherlands,2021,422,78,18.5
Netherlands,2022,288,65,22.6
Netherlands,2023,174,55,31.6
Netherlands,2024,103,41,39.8
Netherlands,2025,14,4,28.6
Singapore,2015,545,76,13.9
Singapore,2016,526,101,19.2
Singapore,2017,689,141,20.5
Singapore,2018,681,145,21.3
Singapore,2019,624,131,21.0
Singapore,2020,584,99,17.0
Singapore,2021,655,122,18.6
Singapore,2022,347,83,23.9
Singapore,2023,221,106,48.0
Singapore,2024,127,66,52.0
Singapore,2025,18,9,50.0
South Korea,2015,767,105,13.7
South Korea,2016,721,107,14.8
South Korea,2017,784,137,17.5
South Korea,2018,817,154,18.8
South Korea,2019,713,146,20.5
South Korea,2020,568,128,22.5
South Korea,2021,462,86,18.6
South Korea,2022,248,88,35.5
South Korea,2023,140,54,38.6
South Korea,2024,59,30,50.8
South Korea,2025,7,1,14.3
Spain,2015,928,76,8.2
Spain,2016,830,108,13.0
Spain,2017,813,102,12.5
Spain,2018,737,103,14.0
Spain,2019,673,99,14.7
Spain,2020,571,91,15.9
Spain,2021,492,87,17.7
Spain,2022,253,63,24.9
Spain,2023,184,61,33.2
Spain,2024,99,42,42.4
Spain,2025,9,2,22.2
Sweden,2015,682,40,5.9
Sweden,2016,696,45,6.5
Sweden,2017,597,47,7.9
Sweden,2018,536,75,14.0
Sweden,2019,409,59,14.4
Sweden,2020,430,63,14.7
Sweden,2021,289,21,7.3
Sweden,2022,147,26,17.7
Sweden,2023,93,41,44.1
Sweden,2024,48,17,35.4
Sweden,2025,5,1,20.0
Switzerland,2015,509,61,12.0
Switzerland,2016,526,72,13.7
Switzerland,2017,633,86,13.6
Switzerland,2018,565,91,16.1
Switzerland,2019,469,80,17.1
Switzerland,2020,442,72,16.3
Switzerland,2021,406,84,20.7
Switzerland,2022,257,56,21.8
Switzerland,2023,156,59,37.8
Switzerland,2024,92,39,42.4
Switzerland,2025,11,5,45.5
Turkey,2015,479,41,8.6
Turkey,2016,419,52,12.4
Turkey,2017,483,53,11.0
Turkey,2018,427,54,12.6
Turkey,2019,406,58,14.3
Turkey,2020,509,71,13.9
Turkey,2021,453,70,15.5
Turkey,2022,261,66,25.3
Turkey,2023,156,59,37.8
Turkey,2024,75,31,41.3
Turkey,2025,3,0,0.0
United Kingdom,2015,3705,372,10.0
United Kingdom,2016,3532,422,11.9
United Kingdom,2017,3495,511,14.6
United Kingdom,2018,3366,496,14.7
United Kingdom,2019,2974,497,16.7
United Kingdom,2020,2893,469,16.2
United Kingdom,2021,2228,386,17.3
United Kingdom,2022,1331,316,23.7
United Kingdom,2023,939,359,38.2
United Kingdom,2024,484,204,42.1
United Kingdom,2025,60,16,26.7
United States,2015,20260,2253,11.1
United States,2016,19342,2542,13.1
United States,2017,20025,2840,14.2
United States,2018,19140,2964,15.5
United States,2019,17274,2887,16.7
United States,2020,17140,3060,17.9
United States,2021,14393,2905,20.2
United States,2022,10364,2817,27.2
United States,2023,9129,4098,44.9
United States,2024,5987,3232,54.0
United States,2025,1942,1234,63.5
