vertical,total,ai,ai_pct
Data & Analytics,119871,52476,43.8
Biotech & Pharma,161797,45687,28.2
Software & IT,580956,73453,12.6
Healthcare,84755,9813,11.6
Financial Services,81063,8744,10.8
Transportation,37701,3437,9.1
Security & Privacy,40811,3658,9.0
Education,49546,4251,8.6
Hardware & Manufacturing,167512,14286,8.5
Media & Marketing,109217,8740,8.0
Professional Services,278625,18026,6.5
E-commerce & Retail,84525,5444,6.4
Energy & CleanTech,39958,2390,6.0
Social Impact,6359,365,5.7
Consumer & Lifestyle,39792,2250,5.7
Real Estate,43291,2429,5.6
Food & AgTech,18803,1028,5.5
