deal_year,company_type,deals,avg_deal_usd_m,median_deal_usd_m,total_raised_usd_m
2015,AI,1353,33.06,0.65,44735
2015,Non-AI,7300,13.20,0.45,96349
2016,AI,1344,15.42,0.64,20720
2016,Non-AI,6873,11.70,0.43,80393
2017,AI,1510,20.00,0.75,30197
2017,Non-AI,7256,9.79,0.48,71055
2018,AI,1473,14.46,0.57,21304
2018,Non-AI,7478,12.02,0.50,89878
2019,AI,1459,17.43,0.75,25434
2019,Non-AI,7498,12.94,0.45,97038
2020,AI,1528,30.18,0.75,46112
2020,Non-AI,6737,17.05,0.80,114842
2021,AI,2049,27.97,1.10,57309
2021,Non-AI,10590,29.88,0.88,316437
2022,AI,2121,36.35,0.72,77097
2022,Non-AI,11042,9.64,0.53,106498
2023,AI,2226,15.24,0.58,33924
2023,Non-AI,9358,9.32,0.42,87244
2024,AI,2439,14.40,0.52,35117
2024,Non-AI,5581,16.50,0.75,92082
2025,AI,2419,30.61,1.13,74048
2025,Non-AI,3247,47.90,2.24,155544
