region,founded_year,total,ai,ai_pct
International,2015,33856,3378,10.0
International,2016,33084,4271,12.9
International,2017,33295,4884,14.7
International,2018,31389,4945,15.8
International,2019,27280,4558,16.7
International,2020,25903,4241,16.4
International,2021,21575,3733,17.3
International,2022,12317,2784,22.6
International,2023,8159,3024,37.1
International,2024,4012,1701,42.4
International,2025,582,228,39.2
United States,2015,20260,2253,11.1
United States,2016,19342,2542,13.1
United States,2017,20025,2840,14.2
United States,2018,19140,2964,15.5
United States,2019,17274,2887,16.7
United States,2020,17140,3060,17.9
United States,2021,14393,2905,20.2
United States,2022,10364,2817,27.2
United States,2023,9129,4098,44.9
United States,2024,5987,3232,54.0
United States,2025,1942,1234,63.5
Unknown,2015,223,159,71.3
Unknown,2016,271,212,78.2
Unknown,2017,334,248,74.3
Unknown,2018,291,196,67.4
Unknown,2019,339,210,61.9
Unknown,2020,361,219,60.7
Unknown,2021,374,253,67.6
Unknown,2022,414,284,68.6
Unknown,2023,825,743,90.1
Unknown,2024,818,679,83.0
Unknown,2025,239,149,62.3
