founded_year,source,total,ai
2000,github,11,8
2000,grant,932,13
2001,github,13,12
2001,grant,426,3
2002,github,20,17
2002,grant,379,3
2003,github,21,20
2003,grant,484,3
2003,scraper,2,0
2004,github,15,12
2004,grant,381,7
2004,scraper,1,0
2005,github,15,12
2005,grant,290,2
2005,scraper,5,0
2006,github,13,10
2006,grant,276,2
2006,scraper,12,1
2007,github,18,16
2007,grant,271,5
2007,scraper,17,2
2008,github,13,8
2008,grant,217,5
2008,scraper,35,3
2009,github,14,11
2009,grant,280,3
2009,scraper,31,3
2010,github,18,13
2010,grant,297,2
2010,scraper,43,4
2011,github,25,19
2011,grant,197,4
2011,scraper,47,5
2012,github,21,10
2012,grant,250,6
2012,scraper,75,6
2013,github,17,10
2013,grant,213,3
2013,scraper,99,15
2014,github,30,13
2014,grant,213,6
2014,scraper,105,17
2015,github,61,42
2015,grant,263,8
2015,scraper,137,27
2016,github,52,37
2016,grant,245,6
2016,scraper,151,36
2017,github,80,58
2017,grant,208,7
2017,scraper,201,53
2018,github,144,115
2018,grant,221,10
2018,scraper,237,65
2019,github,263,229
2019,grant,250,16
2019,scraper,291,72
2020,github,251,216
2020,grant,200,13
2020,scraper,309,58
2021,github,269,242
2021,grant,221,20
2021,scraper,366,100
2022,github,203,180
2022,grant,190,15
2022,scraper,372,101
2023,github,250,248
2023,grant,226,20
2023,scraper,410,166
2024,github,229,229
2024,grant,246,25
2024,scraper,490,220
2025,github,129,129
2025,grant,261,23
2025,scraper,414,242
