founded_year,total_checked,live,dead,live_pct
2000,3,3,0,100.0
2001,2,2,0,100.0
2002,5,4,1,80.0
2003,6,5,1,83.3
2004,4,4,0,100.0
2005,10,8,2,80.0
2006,15,12,3,80.0
2007,19,12,7,63.2
2008,38,25,13,65.8
2009,28,16,12,57.1
2010,36,23,13,63.9
2011,47,35,12,74.5
2012,62,46,16,74.2
2013,61,41,20,67.2
2014,71,57,14,80.3
2015,86,63,23,73.3
2016,82,62,20,75.6
2017,101,90,11,89.1
2018,112,91,21,81.3
2019,166,124,42,74.7
2020,193,151,42,78.2
2021,244,203,41,83.2
2022,253,211,42,83.4
2023,256,221,35,86.3
2024,353,315,38,89.2
2025,319,310,9,97.2
