founded_year,bucket,n,share_of_bucket_pct
2005,cb,19074,3.47
2005,hidden,7,0.34
2005,hidden_on_li,26,1.45
2005,pb,11490,5.02
2006,cb,19657,3.57
2006,hidden,6,0.29
2006,hidden_on_li,32,1.78
2006,pb,11759,5.14
2007,cb,21265,3.87
2007,hidden,7,0.34
2007,hidden_on_li,29,1.61
2007,pb,12448,5.44
2008,cb,23148,4.21
2008,hidden,15,0.73
2008,hidden_on_li,40,2.22
2008,pb,11851,5.18
2009,cb,25151,4.57
2009,hidden,16,0.77
2009,hidden_on_li,40,2.22
2009,pb,12377,5.41
2010,cb,28375,5.16
2010,hidden,21,1.02
2010,hidden_on_li,54,3.0
2010,pb,13138,5.74
2011,cb,27744,5.04
2011,hidden,29,1.4
2011,hidden_on_li,83,4.62
2011,pb,12818,5.6
2012,cb,31211,5.68
2012,hidden,39,1.89
2012,hidden_on_li,101,5.62
2012,pb,13487,5.89
2013,cb,32170,5.85
2013,hidden,49,2.37
2013,hidden_on_li,116,6.45
2013,pb,13244,5.79
2014,cb,36512,6.64
2014,hidden,55,2.66
2014,hidden_on_li,111,6.17
2014,pb,13862,6.06
2015,cb,40169,7.3
2015,hidden,59,2.85
2015,hidden_on_li,130,7.23
2015,pb,13981,6.11
2016,cb,39678,7.22
2016,hidden,70,3.39
2016,hidden_on_li,155,8.62
2016,pb,12794,5.59
2017,cb,40731,7.41
2017,hidden,98,4.74
2017,hidden_on_li,155,8.62
2017,pb,12670,5.54
2018,cb,38667,7.03
2018,hidden,133,6.43
2018,hidden_on_li,145,8.06
2018,pb,11875,5.19
2019,cb,33802,6.15
2019,hidden,191,9.24
2019,hidden_on_li,180,10.01
2019,pb,10720,4.69
2020,cb,32547,5.92
2020,hidden,212,10.26
2020,hidden_on_li,149,8.29
2020,pb,10496,4.59
2021,cb,26622,4.84
2021,hidden,227,10.98
2021,hidden_on_li,137,7.62
2021,pb,9356,4.09
2022,cb,15995,2.91
2022,hidden,201,9.72
2022,hidden_on_li,94,5.23
2022,pb,6805,2.97
2023,cb,11463,2.08
2023,hidden,151,7.31
2023,hidden_on_li,15,0.83
2023,pb,6484,2.83
2024,cb,5666,1.03
2024,hidden,249,12.05
2024,hidden_on_li,6,0.33
2024,pb,4896,2.14
2025,cb,289,0.05
2025,hidden,232,11.22
2025,pb,2242,0.98
