country,bucket,n,share_of_bucket_pct
Luxembourg,hidden,17,0.07
Bosnia and Herzegovina,cb,9,0.0
Argentina,pb,296,0.11
Poland,pb,1529,0.54
Peterborough,hidden,1,0.0
India,hidden_on_li,67,4.15
Malaysia,hidden_on_li,1,0.06
Florida,hidden,3,0.01
Bay Area,hidden_on_li,1,0.06
Indonesia,cb,4436,0.69
Belarus,hidden_on_li,1,0.06
Andorra,cb,1,0.0
Odisha,hidden,1,0.0
Zambia,cb,75,0.01
DC,hidden,2,0.01
Saudi Arabia,hidden_on_li,4,0.25
ON,hidden,1,0.0
Arkansas,hidden,1,0.0
Israel,pb,1262,0.45
Chad,hidden,1,0.0
Papua New Guinea,cb,1,0.0
Kraków,hidden,1,0.0
France,pb,8086,2.87
Turkiye,hidden,1,0.0
Myanmar,pb,69,0.02
Kosovo,cb,1,0.0
Barbados,cb,1,0.0
Israel,cb,6633,1.03
Brazil,cb,18171,2.82
Bangladesh,hidden_on_li,1,0.06
Bulgaria,hidden,29,0.11
Georgia,pb,52,0.02
Singapore,cb,6994,1.08
Philippines,cb,1537,0.24
South Sudan,hidden,2,0.01
Bangladesh,hidden,34,0.13
South,hidden,13,0.05
Taiwan,pb,414,0.15
Sri Lanka,hidden,10,0.04
Mississippi,hidden,1,0.0
Karnataka 560001,hidden,1,0.0
Syria,cb,2,0.0
Mozambique,cb,2,0.0
Morocco,pb,104,0.04
Addis Ababa,hidden,1,0.0
PA,hidden,1,0.0
Cambodia,pb,83,0.03
Taiwan,cb,1520,0.24
Georgia,hidden,10,0.04
Iceland,pb,124,0.04
United Arab Emirates,hidden,61,0.23
New Zealand,hidden_on_li,19,1.18
Mexico,pb,1097,0.39
Nigeria,pb,309,0.11
United States,hidden_on_li,696,43.07
Saudi Arabia,hidden,19,0.07
Colombia,hidden_on_li,9,0.56
Palestine,cb,1,0.0
Malawi,hidden,1,0.0
Oregon,hidden,2,0.01
Vietnam,pb,1030,0.37
Peru,cb,601,0.09
Bulgaria,cb,953,0.15
Angola,cb,1,0.0
Ecuador,hidden,2,0.01
Greece,pb,284,0.1
Indonesia,hidden,100,0.39
Delhi,hidden,1,0.0
Azerbaijan,cb,221,0.03
Norway,hidden,87,0.33
Qatar,cb,289,0.04
Luxembourg,cb,66,0.01
Belize,cb,3,0.0
Argentina,cb,2806,0.43
Chile,hidden,27,0.1
Malaysia,pb,1236,0.44
Lebanon,hidden,1,0.0
United States,pb,139458,49.56
Shanxi,hidden,1,0.0
Utah,hidden,3,0.01
Ecuador,pb,42,0.01
BRA,hidden,1,0.0
Finland,hidden,122,0.47
Zhejiang Prov. China,hidden,1,0.0
Portugal,cb,2998,0.46
Puerto Rico,hidden_on_li,1,0.06
Alabama,hidden,1,0.0
Azerbaijan,pb,26,0.01
Jamaica,cb,96,0.01
Bulgaria,pb,329,0.12
Bay Area,hidden,3,0.01
Libya,cb,1,0.0
Punjab,hidden,1,0.0
United Kingdom,hidden,1272,4.9
Lithuania,hidden_on_li,1,0.06
Gujarat,hidden,3,0.01
Tanzania,cb,11,0.0
PRC,hidden,1,0.0
