bucket,value,n
cb,data_analytics,1129
cb,other,742
cb,llm_nlp,328
cb,computer_vision,274
cb,robotics,158
cb,agents,120
cb,ml_infrastructure,109
cb,generative_media,74
cb,speech_audio,49
hidden,other,3573
hidden,llm_nlp,1404
hidden,data_analytics,973
hidden,agents,964
hidden,computer_vision,644
hidden,ml_infrastructure,485
hidden,generative_media,378
hidden,robotics,250
hidden,speech_audio,204
hidden_on_li,other,368
hidden_on_li,data_analytics,105
hidden_on_li,llm_nlp,55
hidden_on_li,computer_vision,27
hidden_on_li,robotics,15
hidden_on_li,ml_infrastructure,15
hidden_on_li,agents,12
hidden_on_li,generative_media,11
hidden_on_li,speech_audio,11
pb,data_analytics,536
pb,computer_vision,148
pb,llm_nlp,119
pb,other,82
pb,agents,60
pb,robotics,42
pb,ml_infrastructure,32
pb,speech_audio,24
pb,generative_media,20
