bucket,value,n
cb,saas,1520
cb,services,718
cb,hardware,263
cb,consumer_app,159
cb,api_platform,117
cb,other,116
cb,marketplace,76
cb,open_source,14
hidden,saas,2560
hidden,open_source,2207
hidden,other,1885
hidden,api_platform,574
hidden,services,562
hidden,consumer_app,561
hidden,hardware,446
hidden,marketplace,80
hidden_on_li,other,183
hidden_on_li,saas,151
hidden_on_li,open_source,115
hidden_on_li,services,55
hidden_on_li,hardware,43
hidden_on_li,consumer_app,42
hidden_on_li,api_platform,18
hidden_on_li,marketplace,12
pb,saas,695
pb,hardware,106
pb,services,85
pb,api_platform,69
pb,consumer_app,63
pb,marketplace,28
pb,other,16
pb,open_source,1
