cohort_year,application,n
2015,ai_for_science,6
2015,b2b,192
2015,b2c,32
2015,consumer,8
2015,healthcare,15
2015,other,33
2016,ai_for_science,11
2016,b2b,225
2016,b2c,49
2016,consumer,2
2016,healthcare,33
2016,other,32
2017,ai_for_science,10
2017,b2b,271
2017,b2c,43
2017,consumer,4
2017,healthcare,53
2017,other,38
2018,ai_for_science,21
2018,b2b,264
2018,b2c,44
2018,consumer,1
2018,healthcare,63
2018,other,93
2019,ai_for_science,24
2019,b2b,366
2019,b2c,46
2019,consumer,7
2019,healthcare,72
2019,other,142
2020,ai_for_science,28
2020,b2b,317
2020,b2c,34
2020,consumer,2
2020,healthcare,68
2020,other,118
2021,ai_for_science,40
2021,b2b,290
2021,b2c,49
2021,consumer,3
2021,healthcare,71
2021,other,154
2022,ai_for_science,21
2022,b2b,243
2022,b2c,42
2022,consumer,5
2022,healthcare,58
2022,other,133
2023,ai_for_science,43
2023,b2b,381
2023,b2c,68
2023,consumer,6
2023,healthcare,83
2023,other,130
2024,ai_for_science,34
2024,b2b,339
2024,b2c,60
2024,consumer,10
2024,healthcare,64
2024,other,164
2025,ai_for_science,26
2025,b2b,233
2025,b2c,30
2025,consumer,4
2025,healthcare,51
2025,other,103
