investor_name,total_investments,ai_investments,ai_share_pct
Techstars,5359,1491,27.8
Y Combinator,5020,1283,25.6
National Science Foundation,4322,761,17.6
MassChallenge,3034,476,15.7
Plug and Play,1572,444,28.2
500 Global,2993,444,14.8
SOSV,2500,395,15.8
Accel,1902,362,19.0
Andreessen Horowitz,1360,328,24.1
EASME - EU Executive Agency for SMEs,3677,323,8.8
SV Angel,1376,317,23.0
Sequoia Capital,1777,314,17.7
Right Side Capital Management,1358,314,23.1
New Enterprise Associates,2103,313,14.9
Bossanova Investimentos,1684,308,18.3
Khosla Ventures,1075,294,27.3
Alumni Ventures,1276,292,22.9
Google Ventures,1024,281,27.4
Intel Capital,1541,274,17.8
Creative Destruction Lab (CDL),745,266,35.7
Google for Startups,1424,264,18.5
Tiger Global Management,1141,251,22.0
Lightspeed Venture Partners,1234,246,19.9
General Catalyst,1147,244,21.3
Insight Partners,987,242,24.5
Kleiner Perkins,1370,228,16.6
Norwest Venture Partners,877,222,25.3
DCVC,473,220,46.5
First Round Capital,874,213,24.4
Bessemer Venture Partners,1314,212,16.1
Index Ventures,1085,200,18.4
Salesforce Ventures,686,199,29.0
Battery Ventures,829,198,23.9
Founders Fund,823,193,23.5
Felicis Ventures,588,188,32.0
Greylock,832,186,22.4
Alchemist Accelerator,575,177,30.8
Lux Capital,436,176,40.4
Greycroft,762,172,22.6
GGV Capital,876,170,19.4
