institution,n
Stanford University,579
Massachusetts Institute of Technology,479
Tel Aviv University,292
University of California Berkeley,286
Harvard University,238
Carnegie Mellon University,202
University of Cambridge,183
Cornell University,168
Harvard Business School,164
Columbia University,157
University of Oxford,155
Technion,154
University of Southern California,136
University of Toronto,133
Imperial College London,130
Reichman University (IDC Herzliya),126
University of Michigan,126
Stanford Graduate School of Business,125
Technical University of Munich,119
MIT - Sloan School of Management,109
