domain,hidden,published,total
Developer Tools/Infra,2450,28927,31377
Productivity/Work,634,11230,11864
Data/Analytics,410,10980,11390
Healthcare,652,9294,9946
Marketing/Media,629,8802,9431
Manufacturing/Industrial,436,8428,8864
Finance,329,5779,6108
Retail/Commerce,165,3906,4071
Security,213,2816,3029
Robotics/Hardware,315,2530,2845
Transport/Logistics,166,2635,2801
Energy/Climate,170,2136,2306
Education,93,1824,1917
Agriculture/Food,86,1590,1676
Science/Research,143,1531,1674
Legal,185,1205,1390
Other,40,1032,1072
Consumer/Lifestyle,35,881,916
