field,n_present,coverage_pct
ai_mentioned,988576,100.0
cb_ai_tagged,988576,100.0
ai_score,970222,98.14
description,961834,97.29
country,954370,96.54
domain,950633,96.16
city,948407,95.94
founded_year,928412,93.91
categories,912962,92.35
operating_status,897267,90.76
llm_ai_verified,283801,28.71
team_size,251710,25.46
total_raised,170102,17.21
stage,111968,11.33
domain_status,19137,1.94
source_domain,12927,1.31
grant_first_award_year,9931,1.0
naics_code,2455,0.25
cohort_year,2414,0.24
web_first_seen_year,4,0.0
latitude,0,0.0
