year,db,n,ai,ai_share
2000,A,17954,479,2.67
2000,B,11009,395,3.59
2001,A,17150,427,2.49
2001,B,10079,343,3.4
2002,A,16319,409,2.51
2002,B,9772,299,3.06
2003,A,17474,461,2.64
2003,B,10474,325,3.1
2004,A,18110,526,2.9
2004,B,11226,366,3.26
2005,A,19074,583,3.06
2005,B,11490,428,3.72
2006,A,19657,629,3.2
2006,B,11759,462,3.93
2007,A,21265,749,3.52
2007,B,12448,532,4.27
2008,A,23148,861,3.72
2008,B,11851,568,4.79
2009,A,25151,1035,4.12
2009,B,12377,673,5.44
2010,A,28375,1197,4.22
2010,B,13138,799,6.08
2011,A,27744,1347,4.86
2011,B,12818,1018,7.94
2012,A,31211,1746,5.59
2012,B,13487,1224,9.08
2013,A,32170,2183,6.79
2013,B,13244,1394,10.53
2014,A,36512,2971,8.14
2014,B,13862,1606,11.59
2015,A,40169,4051,10.08
2015,B,13981,1713,12.25
2016,A,39678,5228,13.18
2016,B,12794,1759,13.75
2017,A,40731,6173,15.16
2017,B,12670,1749,13.8
2018,A,38667,6364,16.46
2018,B,11875,1674,14.1
2019,A,33802,5951,17.61
2019,B,10720,1617,15.08
2020,A,32547,5732,17.61
2020,B,10496,1717,16.36
2021,A,26622,5123,19.24
2021,B,9356,1689,18.05
2022,A,15995,4183,26.15
2022,B,6805,1635,24.03
2023,A,11463,5411,47.2
2023,B,6484,2401,37.03
2024,A,5666,3268,57.68
2024,B,4896,2266,46.28
2025,A,289,184,63.67
2025,B,2242,1308,58.34
2026,A,4,4,100.0
2026,B,12,7,58.33
