country,n,ai,ai_share,lo,hi,world_ai_share
United States,360691,46155,12.8,12.69,12.91,43.92
India,61885,6460,10.44,10.2,10.68,6.15
United Kingdom,68925,6357,9.22,9.01,9.44,6.05
Canada,36809,4952,13.45,13.11,13.81,4.71
China,28102,4049,14.41,14.0,14.82,3.85
Germany,30792,3406,11.06,10.72,11.42,3.24
Japan,21874,2894,13.23,12.79,13.69,2.75
France,28310,2564,9.06,8.73,9.4,2.44
Israel,7895,1840,23.31,22.39,24.25,1.75
Brazil,20955,1789,8.54,8.17,8.92,1.7
Australia,22810,1652,7.24,6.91,7.59,1.57
South Korea,10623,1616,15.21,14.54,15.91,1.54
Italy,16276,1587,9.75,9.3,10.22,1.51
Spain,16023,1468,9.16,8.72,9.62,1.4
Singapore,8931,1409,15.78,15.04,16.55,1.34
Netherlands,17672,1343,7.6,7.22,8.0,1.28
Switzerland,11004,1106,10.05,9.5,10.63,1.05
Turkey,8445,820,9.71,9.1,10.36,0.78
Sweden,11507,794,6.9,6.45,7.38,0.76
United Arab Emirates,6949,783,11.27,10.55,12.03,0.75
Poland,6163,651,10.56,9.82,11.36,0.62
Mexico,7167,553,7.72,7.12,8.36,0.53
Denmark,6063,531,8.76,8.07,9.5,0.51
Hong Kong,3845,530,13.78,12.73,14.91,0.5
Belgium,6133,530,8.64,7.96,9.37,0.5
Finland,4544,477,10.5,9.64,11.42,0.45
Ireland,4608,446,9.68,8.86,10.57,0.42
Austria,3328,409,12.29,11.22,13.45,0.39
Russia,4416,396,8.97,8.16,9.85,0.38
South Africa,6082,390,6.41,5.82,7.06,0.37
Colombia,3743,370,9.89,8.97,10.88,0.35
Taiwan,1934,361,18.67,16.99,20.46,0.34
Norway,4965,351,7.07,6.39,7.82,0.33
Portugal,3619,348,9.62,8.7,10.62,0.33
Saudi Arabia,1843,335,18.18,16.48,20.0,0.32
Chile,2566,329,12.82,11.58,14.17,0.31
Indonesia,5335,294,5.51,4.93,6.16,0.28
Estonia,2134,287,13.45,12.07,14.96,0.27
Argentina,3102,279,8.99,8.04,10.05,0.27
Czech Republic,2790,274,9.82,8.77,10.98,0.26
Vietnam,3211,251,7.82,6.94,8.8,0.24
New Zealand,3322,244,7.34,6.51,8.28,0.23
Pakistan,2724,243,8.92,7.91,10.05,0.23
Malaysia,3342,237,7.09,6.27,8.01,0.23
Ukraine,2886,233,8.07,7.13,9.12,0.22
Romania,718,225,31.34,28.05,34.82,0.21
Nigeria,2656,217,8.17,7.19,9.27,0.21
Hungary,1625,161,9.91,8.55,11.46,0.15
Sri Lanka,298,156,52.35,46.68,57.95,0.15
Greece,1827,145,7.94,6.78,9.27,0.14
Thailand,1716,141,8.22,7.01,9.61,0.13
Bulgaria,1282,127,9.91,8.39,11.66,0.12
Lithuania,1363,124,9.1,7.68,10.74,0.12
Egypt,1776,122,6.87,5.78,8.14,0.12
Kenya,1211,120,9.91,8.35,11.72,0.11
Slovakia,247,101,40.89,34.94,47.12,0.1
Bangladesh,1910,92,4.82,3.94,5.87,0.09
Philippines,1891,90,4.76,3.89,5.81,0.09
Luxembourg,391,89,22.76,18.88,27.17,0.08
Serbia,817,73,8.94,7.17,11.09,0.07
Latvia,668,62,9.28,7.31,11.72,0.06
Croatia,857,62,7.23,5.68,9.17,0.06
Peru,800,61,7.62,5.98,9.67,0.06
Uruguay,397,54,13.6,10.58,17.32,0.05
Slovenia,627,49,7.81,5.96,10.18,0.05
Ghana,519,46,8.86,6.71,11.62,0.04
Kazakhstan,322,45,13.98,10.61,18.19,0.04
Morocco,532,41,7.71,5.73,10.29,0.04
Armenia,284,39,13.73,10.21,18.22,0.04
Jordan,522,34,6.51,4.7,8.96,0.03
Lebanon,527,31,5.88,4.17,8.23,0.03
Uganda,369,30,8.13,5.75,11.37,0.03
Ecuador,317,27,8.52,5.92,12.11,0.03
Qatar,390,26,6.67,4.59,9.59,0.02
Georgia,262,26,9.92,6.86,14.14,0.02
Nepal,351,20,5.7,3.72,8.64,0.02
Azerbaijan,247,18,7.29,4.66,11.22,0.02
Panama,317,17,5.36,3.37,8.42,0.02
Kuwait,298,10,3.36,1.83,6.07,0.01
Ethiopia,203,8,3.94,2.01,7.58,0.01
