country,n_early,ai_early,n_late,ai_late,share_early,share_late,change_pp,ratio
United States,124549,11275,58742,17280,9.05,29.42,20.37,3.25
Chile,1073,92,318,90,8.57,28.3,19.73,3.3
Israel,3073,586,1153,429,19.07,37.21,18.14,1.95
Canada,12484,1161,6169,1685,9.3,27.31,18.01,2.94
Czech Republic,1054,82,264,66,7.78,25.0,17.22,3.21
Finland,1860,135,470,110,7.26,23.4,16.14,3.22
Ireland,1727,119,513,118,6.89,23.0,16.11,3.34
Saudi Arabia,554,59,386,103,10.65,26.68,16.03,2.51
Portugal,1235,84,439,100,6.8,22.78,15.98,3.35
Netherlands,6844,396,1526,330,5.79,21.63,15.84,3.74
South Korea,3772,412,1474,385,10.92,26.12,15.2,2.39
Switzerland,3480,284,1360,315,8.16,23.16,15.0,2.84
Germany,9605,807,3901,905,8.4,23.2,14.8,2.76
United Kingdom,24216,1789,7887,1741,7.39,22.07,14.68,2.99
Poland,2400,206,618,142,8.58,22.98,14.4,2.68
Estonia,634,51,527,118,8.04,22.39,14.35,2.78
Lithuania,530,32,231,47,6.04,20.35,14.31,3.37
China,11787,1670,2245,639,14.17,28.46,14.29,2.01
Austria,1113,101,460,107,9.07,23.26,14.19,2.56
United Arab Emirates,2257,155,1567,330,6.87,21.06,14.19,3.07
Ukraine,1138,67,251,50,5.89,19.92,14.03,3.38
Mexico,2734,132,801,151,4.83,18.85,14.02,3.9
Spain,6166,456,1604,343,7.4,21.38,13.98,2.89
Singapore,2997,327,1937,480,10.91,24.78,13.87,2.27
Turkey,2971,194,1455,296,6.53,20.34,13.81,3.11
Japan,6032,583,4025,924,9.67,22.96,13.29,2.37
Italy,5142,310,2013,378,6.03,18.78,12.75,3.11
Brazil,7881,502,1938,369,6.37,19.04,12.67,2.99
Belgium,2242,155,538,105,6.91,19.52,12.61,2.82
Colombia,1386,81,500,90,5.84,18.0,12.16,3.08
Sweden,4379,210,1003,169,4.8,16.85,12.05,3.51
France,9973,791,2868,570,7.93,19.87,11.94,2.51
New Zealand,1243,66,275,46,5.31,16.73,11.42,3.15
Pakistan,989,59,508,88,5.97,17.32,11.35,2.9
Denmark,2060,156,602,113,7.57,18.77,11.2,2.48
Vietnam,1047,56,425,70,5.35,16.47,11.12,3.08
Kenya,476,29,265,45,6.09,16.98,10.89,2.79
India,25206,1921,9630,1779,7.62,18.47,10.85,2.42
Australia,8361,446,2435,391,5.33,16.06,10.73,3.01
Hong Kong,1450,161,541,118,11.1,21.81,10.71,1.96
Egypt,641,23,284,39,3.59,13.73,10.14,3.82
Norway,1782,106,460,71,5.95,15.43,9.48,2.59
South Africa,2193,116,455,64,5.29,14.07,8.78,2.66
Argentina,1087,79,340,54,7.27,15.88,8.61,2.18
Philippines,746,23,217,25,3.08,11.52,8.44,3.74
Bangladesh,785,15,312,32,1.91,10.26,8.35,5.37
Malaysia,1175,69,392,51,5.87,13.01,7.14,2.22
Indonesia,1958,62,846,78,3.17,9.22,6.05,2.91
Nigeria,803,38,754,79,4.73,10.48,5.75,2.22
