sector,n_early,ai_early,n_late,ai_late,n_all,ai_all,share_early,share_late,change_pp,ratio,late_lo,late_hi
Data & Analytics,42201,15167,24626,17581,119576,52298,35.94,71.39,35.45,1.99,70.82,71.95
Biotech & Pharma,52419,12169,27540,16527,161566,45570,23.21,60.01,36.8,2.59,59.43,60.59
Software & IT,216019,20421,90957,26677,579468,72739,9.45,29.33,19.88,3.1,29.03,29.63
Healthcare,30133,2668,13518,3601,84108,9611,8.85,26.64,17.79,3.01,25.9,27.39
Hardware & Manufacturing,58621,4854,15640,3661,167093,14134,8.28,23.41,15.13,2.83,22.75,24.08
Security & Privacy,14315,1160,4833,999,40695,3616,8.1,20.67,12.57,2.55,19.55,21.84
Media & Marketing,44527,3005,13365,2555,108709,8594,6.75,19.12,12.37,2.83,18.46,19.79
Transportation,13344,1142,4871,919,37505,3399,8.56,18.87,10.31,2.2,17.79,19.99
Professional Services,101548,5541,29828,5479,278258,17916,5.46,18.37,12.91,3.36,17.93,18.81
Education,19136,1298,7246,1317,49235,4179,6.78,18.18,11.4,2.68,17.3,19.08
Real Estate,14828,722,4461,796,43136,2390,4.87,17.84,12.97,3.66,16.75,18.99
Financial Services,24489,2325,18617,3194,80348,8580,9.49,17.16,7.67,1.81,16.62,17.7
Energy & CleanTech,13148,683,5361,765,39670,2326,5.19,14.27,9.08,2.75,13.36,15.23
E-commerce & Retail,32924,1905,11427,1614,84013,5361,5.79,14.12,8.33,2.44,13.5,14.78
Social Impact,2400,106,812,112,6266,358,4.42,13.79,9.37,3.12,11.59,16.34
Consumer & Lifestyle,16152,757,5414,709,39487,2199,4.69,13.1,8.41,2.79,12.22,14.02
Food & AgTech,7427,278,2737,357,18584,998,3.74,13.04,9.3,3.49,11.83,14.36
