id,name,t_country,t_city,t_year,bucket,p_country,p_city,p_year,p_team
1324416,JiuTai Advanced Materials Technology,China,Eerduosi,2003,verified_pb,China,Unknown,2010.0,51-200
79042,Velisa Africa Academy,South Africa,Bryanston,2007,verified_cb,South Africa,Unknown,2015.0,11-50
241361,Tzekwan,China,Hangzhou,2005,verified_cb,China,Unknown,2005.0,51-200
414859,BZ,Canada,Quebec,2001,verified_cb,China,Unknown,2012.0,11-50
1421410,New England Ketamine,United States,Salem,2019,verified_pb,United States,Boston,2018.0,11-50
590120,Media Cannibal,India,Bangalore,2019,verified_cb,United States,Unknown,2016.0,11-50
398677,Cloud9 Consulting,Australia,Melbourne,2015,verified_cb,United States,Unknown,2008.0,51-200
291336,Pennonsoft,India,Medak,2008,verified_cb,United States,Unknown,2010.0,1-10
1327240,ISO Group (Netherlands),Netherlands,Gameren,2002,verified_pb,Netherlands,Unknown,1995.0,51-200
187919,Yuanda Robotics,Germany,Hanover,2017,verified_cb,China,Unknown,2015.0,51-200
244750,THE STEERING,United States,North Miami Beach,2019,verified_cb,United States,Miami,2018.0,11-50
1462219,Dimension Energy Services,United States,Sugar Land,2003,verified_pb,United States,Houston,2010.0,51-200
1336842,AyMakan,Saudi Arabia,Riyadh,2013,verified_pb,Unknown,Unknown,2015.0,11-50
460868,MailHippo,United States,Pompano Beach,2015,verified_cb,United States,Unknown,2015.0,1-10
197854,Inside Parts,Belgium,Wevelgem,2002,verified_cb,Unknown,Unknown,2012.0,11-50
1297509,Alumed,France,Sainte Blandine,2010,verified_pb,Unknown,Unknown,2014.0,51-200
413490,300.000 Km/s,Spain,Barcelona,2014,verified_cb,Unknown,Unknown,2016.0,1-10
418431,Pixels In Stereo,Belgium,Keerbergen,2011,verified_cb,Unknown,Unknown,2017.0,1-10
1318068,GPS Alliance Holdings,Singapore,Singapore,2010,verified_pb,Unknown,Unknown,2008.0,51-200
1294695,Etulipa,Netherlands,Eindhoven,2006,verified_pb,Unknown,Unknown,2016.0,11-50
418098,Yeastime,Italy,Rome,2021,verified_cb,Unknown,Unknown,2020.0,1-10
1478879,Sumner Bank & Trust,United States,Gallatin,2005,verified_pb,United States,Sumner,1920.0,51-200
84414,MoWeb Media,Morocco,Casablanca,2015,verified_cb,Morocco,Casablanca,2015.0,11-50
36492,Cyfeon Solutions,United States,Austin,2011,verified_cb,United States,San Francisco,2010.0,11-50
1437367,M Thirty Nine,Thailand,Jatujak,2009,verified_pb,Unknown,Unknown,2010.0,11-50
1301845,Love It magazines,United Kingdom,Colchester,2006,verified_pb,United Kingdom,London,2005.0,51-200
151094,Milênio Bus,Brazil,São Paulo,2017,verified_cb,Brazil,São Paulo,2018.0,11-50
617831,Thedigitech,Morocco,Morocco City,2018,verified_cb,Unknown,Unknown,2015.0,1-10
1391101,CannaCare,Germany,Hamburg,2018,verified_pb,United States,Denver,2018.0,11-50
1515276,Slick Chicks,United States,New York,2013,verified_pb,United States,Los Angeles,2019.0,1-10
1385618,FirstMark Horizon Acquisition,United States,New York,2020,verified_pb,United States,New York,2020.0,11-50
1379668,WayZim,China,Wuxi,2016,verified_pb,China,Shanghai,2015.0,51-200
252328,Watone Cloud Data,China,Hangzhou,2012,verified_cb,China,Beijing,2012.0,51-200
440496,Vector Vibe,India,Chennai,2000,verified_cb,United States,New York,2015.0,11-50
1597474,Quant Coding,North Macedonia,Demir Hisar,2020,verified_cb,United States,San Francisco,2018.0,11-50
636694,Vertical,United States,Chicago,2002,verified_cb,United States,New York,2016.0,11-50
1507114,Bassari Resources,Australia,West Perth,2007,verified_pb,Senegal,Dakar,2008.0,51-200
1400215,WB Cleaners,United States,Winston-Salem,2013,verified_pb,United States,Raleigh,2015.0,1-10
402760,ccFOUND,Poland,Wroclaw,2019,verified_cb,Germany,Berlin,2016.0,11-50
438822,DesignRevol,Canada,London,2021,verified_cb,United States,Austin,2014.0,11-50
1365533,Siam Kubota,Malaysia,Khlongluang,2010,verified_pb,Thailand,Bangkok,1973.0,201-500
1404310,Livecare (Utah),United States,Venice,2018,verified_pb,United States,Salt Lake City,2015.0,11-50
1287993,Al Bawaba,Jordan,Amman,2000,verified_pb,United Arab Emirates,Dubai,2011.0,51-200
261129,Commitpoint,United States,Leesburg,2006,verified_cb,United States,Unknown,2000.0,11-50
1364634,Doorastha Analytics,India,New Delhi,2017,verified_pb,India,Bangalore,2018.0,11-50
409591,Zyantama Megantara,Indonesia,Tangerang,2022,verified_cb,Indonesia,Jakarta,2015.0,11-50
1434016,Bantam Networks,United States,New York,2008,verified_pb,United States,San Francisco,2008.0,11-50
1417919,Arpem Networks,Spain,Madrid,2002,verified_pb,Spain,Madrid,2012.0,11-50
628711,Farm To Plate,United States,Alpharetta,2021,verified_cb,United Kingdom,London,2018.0,11-50
201053,Data Monitoring,Spain,Villalba,2017,verified_cb,Germany,Berlin,2015.0,11-50
530312,Jikken Technology,Australia,Sydney,2005,verified_cb,Japan,Tokyo,2010.0,11-50
1330488,Opertis,Germany,Volkmarsen,2011,verified_pb,Germany,Berlin,2015.0,11-50
390091,Granite & Marble Works,United States,Walton,2003,verified_cb,United States,Charlotte,2005.0,51-200
290162,ACRC Trials,United States,Plano,2006,verified_cb,United States,Miami,2010.0,51-200
1524389,WaveClear Vascular,United States,Erie,2020,verified_pb,United States,San Francisco,2015.0,51-200
1312708,Aloft Ontario-Rancho Cucamonga,United States,Rancho Cucamonga,2008,verified_pb,United States,Rancho Cucamonga,2010.0,11-50
476122,Desert Fox Entertainment,South Korea,Seongnam,2019,verified_cb,United States,Los Angeles,2018.0,11-50
20074,Zeal (Business/Productivity Software),United States,New York,2019,verified_pb,United States,San Francisco,2019.0,51-200
70697,Information Shield,United States,Houston,2004,verified_cb,United States,Austin,2012.0,11-50
348548,Alfred,United States,Perris,2008,verified_cb,United States,San Francisco,2020.0,11-50
367215,CCK Builders,United States,Orange,2004,verified_cb,United States,Unknown,2010.0,11-50
1282483,EatDrink Websites,United States,Flemington,2009,verified_pb,United States,Unknown,2010.0,11-50
160725,Tanyan,China,Jinan,2018,verified_cb,China,Unknown,2014.0,11-50
1527036,MX Locker,United States,Miami,2017,verified_pb,United States,Unknown,2012.0,11-50
1367818,Velentium Medical,United States,Richmond,2012,verified_pb,United States,Exton,2005.0,51-200
1305918,IDDAS,United Kingdom,London,2002,verified_pb,United Kingdom,London,2010.0,11-50
43659,Shiva Holistic Homeopathy Centre,Singapore,Singapore,2003,verified_cb,India,Unknown,2010.0,1-10
83110,Finoit Technologies,United States,Irving,2010,verified_cb,India,Gurugram,2012.0,51-200
128436,VRsenal,United States,Fort Collins,2016,verified_cb,United States,Unknown,2014.0,11-50
509183,Dt. Dental,Colombia,Medellín,2020,verified_cb,India,Unknown,2015.0,1-10
1480407,Total Carbide,United Kingdom,Aylesbury,2000,verified_pb,United States,Unknown,2000.0,51-200
1512525,Tranquility Biodesign,United States,Houston,2022,verified_pb,United States,Unknown,2018.0,51-200
404522,Teamstand,United States,New City,2020,verified_cb,United States,Unknown,2015.0,11-50
1368453,Hack.Institute,Germany,Berlin,2015,verified_pb,United States,Unknown,2016.0,11-50
18829,Amplify.ai,United States,Palo Alto,2016,verified_pb,United States,Unknown,2017.0,51-200
370140,ERES,United Arab Emirates,Dubai,2006,verified_cb,United States,Unknown,2010.0,11-50
25593,Peridrome Corporation,United States,Brooklyn,2007,verified_cb,United States,Unknown,2012.0,11-50
1463119,Thommen Medical,Switzerland,Grenchen,2001,verified_pb,Switzerland,Waldenburg,1997.0,201-500
336349,Ninyes,Finland,Helsinki,2021,verified_cb,Germany,Berlin,2020.0,51-200
35837,PublicRelay,United States,Vienna,2008,verified_cb,United States,Unknown,2010.0,51-200
401377,Cubevo,Malaysia,Batu Caves,2007,verified_cb,Unknown,Unknown,2010.0,11-50
1548869,Bella Lash & Beauty,Canada,Markham,2018,verified_pb,Canada,Unionville,2015.0,1-10
613243,EnterERP,Turkey,Maltepe,2016,verified_cb,Turkey,Istanbul,2010.0,51-200
182494,BroadLink International,China,Hangzhou,2013,verified_cb,China,Shenzhen,2010.0,201-500
1517325,SurvivorNet,United States,New York,2017,verified_pb,United States,New York,2012.0,51-200
263585,Touchline Interactive,France,Biot,2012,verified_cb,Unknown,Unknown,2012.0,11-50
144487,Wonderobe,Russia,Moscow,2018,verified_cb,United States,San Francisco,2018.0,11-50
559119,DeyIT,United Kingdom,Beaconsfield,2012,verified_cb,United Kingdom,Buckinghamshire,2010.0,11-50
322699,Nudhum,Saudi Arabia,Riyadh,2011,verified_cb,Unknown,Unknown,2015.0,11-50
233049,Chirdent,France,Villenave-d'ornon,2005,verified_cb,Unknown,Unknown,2016.0,1-10
1534133,Davy Gas,United States,Cincinnati,2021,verified_pb,United States,Unknown,2020.0,11-50
1432894,Viamedia,United States,Lexington,2001,verified_pb,United States,Unknown,2005.0,201-500
1376263,Les Emballages Onducorr,Canada,Anjou,2005,verified_pb,Canada,Quebec City,1995.0,11-50
161001,Lingua Custodia,France,Montigny-le-bretonneux,2011,verified_cb,Switzerland,Geneva,2015.0,11-50
385283,Ethos CRS,Australia,Canberra,2005,verified_cb,Canada,Unknown,2010.0,11-50
93861,Mustang Marketing,Poland,Lublin,2010,verified_cb,Unknown,Unknown,2012.0,1-10
1519652,Wizar (Educational and Training Services),Canada,Vancouver,2017,verified_pb,Unknown,Unknown,2018.0,11-50
275032,Sturdy,Sweden,Stockholm,2021,verified_cb,Denmark,Copenhagen,2022.0,11-50
1528260,Azolla Ventures,United States,Cambridge,2021,verified_pb,United States,San Francisco,2020.0,11-50
498280,Doctor Telco,United States,Roanoke,2002,verified_cb,Unknown,Unknown,2010.0,11-50
1413918,Amnis Pura,Portugal,Vila Nova de Gaia,2018,verified_pb,Germany,Stuttgart,2015.0,11-50
473925,AVN Solutions,United Kingdom,London,2013,verified_cb,United States,Los Angeles,2010.0,11-50
262970,Mash Enterprise Technology Group,United States,North Easton,2010,verified_cb,United States,Chicago,2008.0,51-200
368089,BeLogic,Belgium,Beerse,2007,verified_cb,Germany,Hamburg,2012.0,11-50
110698,WiFi Magic,United States,Boca Raton,2013,verified_cb,Brazil,São Paulo,2013.0,11-50
345002,Fincra,Canada,Toronto,2019,verified_cb,Nigeria,Lagos,2019.0,51-200
1373228,Home Health Care Resources,United States,West Palm Beach,2009,verified_pb,United States,Miami,2005.0,11-50
466902,MageCosmos,China,Beijing,2019,verified_cb,China,Beijing,2018.0,51-200
1435781,Genexco (Energy Exploration),Germany,Berlin,2014,verified_pb,Mexico,Mexico City,2016.0,51-200
268543,High School Technical Services,United States,Washington,2013,verified_cb,United States,Austin,2017.0,11-50
140788,Assured Allies,United States,Boston,2017,verified_cb,United States,Unknown,2018.0,11-50
30390,Higher Logic,United States,Arlington,2007,verified_cb,United States,"Washington, D.C.",2005.0,201-500
509633,MineTree,Japan,Tokyo,2018,verified_cb,United States,Unknown,2015.0,11-50
360834,Adept Field Solutions,United Kingdom,Kingston Upon Thames,2010,verified_cb,United Kingdom,London,2010.0,51-200
394861,INNOVATOR_INSTITUT,Germany,Mülheim An Der Ruhr,2015,verified_cb,Germany,Unknown,2012.0,11-50
443586,Madprotek,India,Hosur,2022,verified_cb,Singapore,Singapore,2010.0,51-200
1590809,IntelliPhi,United States,Atlanta,2014,verified_cb,United States,New York,2017.0,11-50
221799,Axian,Hungary,Székesfehérvár,2003,verified_cb,United States,Unknown,2014.0,1-10
1351927,Thornhill Medical,Canada,Toronto,2004,verified_pb,Canada,Toronto,2009.0,51-200
1347016,BSL Management Consultants,Germany,Hamburg,2002,verified_pb,United Kingdom,London,2008.0,11-50
415075,Levana,Israel,Tel Aviv,2021,verified_cb,United States,San Francisco,2021.0,11-50
503411,Tessafold,Germany,Berlin,2017,verified_cb,India,Bangalore,2015.0,51-200
516153,Datamorphosis Technologies,India,Pune,2009,verified_cb,India,Bangalore,2016.0,51-200
1321716,The Jackson Group Consulting Firm,United States,Hickory,2001,verified_pb,United States,Chicago,2010.0,51-200
1551660,OtterMon AI,United States,Boston,2025,verified_pb,United States,San Francisco,2022.0,11-50
1314928,Feelance Company,India,Mumbai,2015,verified_pb,India,Bangalore,2018.0,11-50
225475,haicj.com,China,Jiading,2000,verified_cb,China,Beijing,2014.0,51-200
607143,C2C,United States,Chandler,2016,verified_cb,United States,Los Angeles,2012.0,11-50
1485179,Container First Services,United States,Petersburg,2008,verified_pb,United States,Phoenix,2008.0,51-200
483704,Socanin,Canada,Mont-saint-hilaire,2003,verified_cb,Canada,Toronto,2010.0,51-200
346199,Socionext,United States,Santa Clara,2015,verified_cb,Japan,Yokohama,2008.0,201-500
1348421,Amplia Therapeutics (North Melbourne),Australia,North Melbourne,2016,verified_pb,Australia,North Melbourne,2014.0,11-50
33363,BizeeBee,United States,Palo Alto,2010,verified_cb,United States,San Francisco,2015.0,11-50
380108,Ideas in Focus,United States,Chagrin Falls,2003,verified_cb,United States,New York,2012.0,1-10
533773,Orbit-Shift Consulting Services,India,Hyderabad,2017,verified_cb,United States,Austin,2010.0,1-10
306909,Amaxx,United States,Dublin,2002,verified_cb,United States,Pittsburgh,2008.0,51-200
149472,Delaware Exaserv,United States,Alpharetta,2010,verified_cb,Germany,Walldorf,2005.0,51-200
546148,SenID,Vietnam,Ho Chi Minh City,2023,verified_cb,Nigeria,Lagos,2019.0,11-50
50738,Memberson,United States,Bellevue,2006,verified_cb,United States,Chicago,2013.0,51-200
1549325,Cipher Media,United States,New York,2024,verified_pb,United States,Los Angeles,2020.0,11-50
177295,SpecTronics UK,United Kingdom,London,2011,verified_cb,United Kingdom,London,2010.0,11-50
443223,Stella Automotive AI,United States,Tampa,2016,verified_cb,United States,San Francisco,2018.0,11-50
1316994,Biotehdas,Finland,Forssa,2012,verified_pb,Finland,Helsinki,2008.0,51-200
68111,Zamenhof.net,United States,Columbus,2013,verified_cb,Spain,Barcelona,2015.0,11-50
1553045,OpZira,United States,Middletown,2025,verified_pb,United States,San Jose,2012.0,51-200
185985,NYrender Architectural Services,United States,New York,2001,verified_cb,United States,New York,2009.0,1-10
45311,PSD To Wordpress Expert,United States,Walpole,2013,verified_cb,India,Bangalore,2010.0,11-50
305663,ForeNova Technologies Inc.,United States,Fremont,2021,verified_cb,Germany,Frankfurt,2017.0,11-50
263981,MINDEVOLVED,Australia,Sydney,2018,verified_cb,United Kingdom,London,2016.0,1-10
530676,Chemsol Polymer Industries,India,Pune,2008,verified_cb,India,Mumbai,2005.0,51-200
398333,SymTerra,United Kingdom,London,2021,verified_cb,United States,Unknown,2020.0,11-50
1370052,Quarter Turn Resources,United States,Ponca City,2004,verified_pb,United States,Unknown,2010.0,51-200
421303,Metarank,United States,Dover,2022,verified_cb,United States,Unknown,2021.0,11-50
314098,Human Fractal,India,Bangalore,2016,verified_cb,India,Bangalore,2019.0,51-200
356607,TechMantra Global,United Arab Emirates,Dubai,2017,verified_cb,India,Bangalore,2010.0,51-200
1304922,Axiom MS,United Kingdom,Newport,2008,verified_pb,United States,Unknown,2015.0,11-50
1588615,C. Kirk Media & Technology Consulting,United States,Indianapolis,2005,verified_cb,United States,Unknown,2012.0,1-10
1454251,Smart Cast (TV Saas Company),Germany,UnterfÃ¶hring,2007,verified_pb,United States,Unknown,2018.0,11-50
1305333,Southern Highlands Preparatory School,United States,Las Vegas,2003,verified_pb,United States,Unknown,2015.0,51-200
1431928,Prognosis Innovation Healthcare,United States,Houston,2006,verified_pb,United States,Unknown,2015.0,51-200
1426964,Melon (Entertainment Software),United States,Orlando,2017,verified_pb,United States,Los Angeles,2018.0,51-200
1306704,NeoSync (Massachusetts),United States,Woburn,2008,verified_pb,United States,Boston,2015.0,51-200
335897,International Consulting Engineers,United States,Delray Beach,2002,verified_cb,United States,New York,1995.0,201-500
