normalized_name,n_records,n_domains
consulting,78,78
digital,72,72
it,61,61
smart,57,57
global,52,52
one,50,50
engineering,45,45
cloud,44,44
connect,43,43
cube,42,42
spark,38,38
studio,37,37
core,37,37
vision,36,36
services,34,34
media,33,33
alpha,33,33
next,32,32
link,32,32
data,31,31
code,31,31
bridge,31,31
team,31,31
web,30,30
momentum,30,30
open,30,30
infinity,30,30
quantum,30,30
soft,30,30
design,29,29
solution,29,29
insight,29,29
net,29,29
fusion,28,28
horizon,28,28
pulse,28,28
apex,28,28
matrix,28,28
automation,28,28
bit,27,27
clarity,27,27
nova,26,26
atlas,26,26
prime,26,26
system,26,26
business,26,26
loop,26,26
logic,26,26
edge,25,25
flow,25,25
blue,25,25
bloom,24,24
partners,24,24
control,24,24
engage,24,24
pro,23,23
hive,23,23
pinnacle,23,23
future,23,23
beacon,23,23
enterprise,23,23
interactive,23,23
synergy,23,23
icon,22,22
nexus,22,22
star,22,22
phoenix,22,22
creative,22,22
space,22,22
beam,22,22
blink,22,22
square,21,21
plus,21,21
shift,21,21
axiom,21,21
sigma,21,21
origin,21,21
delta,21,21
evolution,21,21
innovative,21,21
terra,21,21
the,21,21
beyond,21,21
project,21,21
agile,21,21
com,20,20
arc,20,20
titan,20,20
plan,20,20
layer,20,20
reach,20,20
idea,20,20
dynamic,20,20
halo,20,20
evolve,20,20
infotech,20,20
elevate,20,20
squared,19,19
orca,19,19
base,19,19
affinity,19,19
ace,19,19
salt,19,19
clear,19,19
bright,19,19
velocity,19,19
wave,19,19
meta,19,19
rise,19,19
intelligent,19,19
aura,19,19
impact,19,19
think,19,19
point,19,19
vector,19,19
level,19,19
integrated,19,19
research,19,19
atom,18,18
and,18,18
blueprint,18,18
circle,18,18
peak,18,18
ignite,18,18
its,18,18
network,18,18
marketing,18,18
flex,18,18
iris,18,18
source,18,18
gravity,18,18
mobile,18,18
mesh,18,18
mosaic,18,18
factory,17,17
omni,17,17
concept,17,17
aim,17,17
savvy,17,17
innova,17,17
international,17,17
stack,17,17
catalyst,17,17
sphere,17,17
lemon,17,17
nextgen,17,17
leap,17,17
spot,17,17
care,17,17
advanced,17,17
innovation,17,17
summit,17,17
lighthouse,17,17
pivot,17,17
zen,17,17
flare,17,17
inspire,17,17
agency,17,17
go,16,16
works,16,16
sentinel,16,16
compass,16,16
growth,16,16
bits,16,16
paradigm,16,16
fluid,16,16
computer,16,16
genius,16,16
switch,16,16
wise,16,16
info,16,16
forward,16,16
indigo,16,16
dev,16,16
sync,16,16
vital,16,16
virtual,16,16
seed,16,16
simple,16,16
construction,16,16
motion,15,15
grid,15,15
sidekick,15,15
alliance,15,15
app,15,15
id,15,15
secure,15,15
united,15,15
integra,15,15
avalon,15,15
epic,15,15
echo,15,15
nimbus,15,15
company,15,15
athena,15,15
propel,15,15
hyphen,15,15
cyber,15,15
trust,15,15
consultants,15,15
instant,15,15
cornerstone,15,15
new,15,15
quality,15,15
resonance,15,15
networks,15,15
axis,15,15
breeze,15,15
apollo,15,15
scout,15,15
sol,15,15
dash,15,15
rocket,15,15
solve,15,15
genesis,15,15
gen,15,15
integrity,15,15
zero,15,15
block,15,15
tandem,15,15
liquid,15,15
associates,15,15
purple,15,15
energy,15,15
acuity,15,15
learning,15,15
thread,14,14
robin,14,14
mechanical,14,14
honeycomb,14,14
