raw_name,canonical_name,domain,sim,ai,same_company,labeller
Letter AI,Letter,letter.co,1.0,True,,
Vango AI,VanGo,ridevango.com,1.0,True,,
Upsolve AI,Upsolve,upsolve.org,1.0,True,,
Axiom,Axiom.ai,axiom.ai,1.0,True,,
Leaping AI,Leaping,leaping.io,1.0,True,,
Bizzy AI,Bizzy,bizzy.io,1.0,True,,
Compose.ai,Compose,mongohq.com,1.0,True,,
Squire.ai,Squire Technologies,getsquire.com,1.0,True,,
Paragon AI,Paragon,useparagon.com,1.0,True,,
Vango AI,VanGo,ridevango.com,1.0,True,,
K-Scale Labs,Scale AI,scale.com,1.0,True,,
Axiom,Axiom.ai,axiom.ai,1.0,True,,
Leaping AI,Leaping,leaping.io,1.0,True,,
Remy AI,Remy,startremy.com,1.0,True,,
Autumn AI,Autumn Labs,autumnlabs.io,1.0,True,,
Ocular Technologies,Ocular AI,useocular.com,1.0,True,,
Bild.,Bild AI,bild.ai,1.0,True,,
Speak Ai,Speak,speak.com,1.0,True,,
TARA,Tara AI,tara.ai,1.0,True,,
Rally AI,Rally,rally.video,1.0,True,,
Co-Tasker,Tasker AI,tasker.ai,1.0,True,,
Kura Technologies,Kura AI,trykura.com,1.0,True,,
Flow.ai,Flow,enterflow.app,1.0,True,,
Superpowered,Superpowered AI,superpowered.ai,1.0,True,,
Mica,Mica AI,usemica.com,1.0,True,,
Bild,Bild AI,bild.ai,1.0,True,,
Vector.ai,Vector,vector.co,1.0,True,,
Branch,Branch AI,branch-ai.com,1.0,True,,
AI Camp Incorporated,Camp,nouns.camp,1.0,,,
Atomic AI,Atomic,atomicvest.com,1.0,True,,
Ora,Ora AI,oraai.com,1.0,True,,
Slang.ai,Slang,slang.ai,1.0,True,,
Biodock AI,Biodock,biodock.ai,1.0,True,,
Aware.ai,Aware,awarelabs.xyz,1.0,True,,
Kura,Kura AI,trykura.com,1.0,True,,
Astronome,Astronome AI,astronome.ai,1.0,True,,
AI Motion,Motion,usemotion.com,1.0,True,,
Observe,Observe.AI,observe.ai,1.0,True,,
InFLOWS AI,InFLOWS,inflows-ai.com,1.0,True,,
Kura Technologies,Kura AI,trykura.com,1.0,True,,
THEO,Theo AI,theoai.ai,1.0,True,,
Titan AI,Titan,titan.com,1.0,True,,
Waypoint AI,Waypoint,usewaypoint.com,1.0,True,,
