year,n,ai,ai_mention,ai_share,share_lo,share_hi,mention_share
1995,297,297,41,100.0,98.72,100.0,13.8
1996,328,328,54,100.0,98.84,100.0,16.46
1997,375,375,66,100.0,98.99,100.0,17.6
1998,378,378,72,100.0,98.99,100.0,19.05
1999,499,499,110,100.0,99.24,100.0,22.04
2000,28963,874,333,3.02,2.83,3.22,1.15
2001,27229,770,295,2.83,2.64,3.03,1.08
2002,26091,708,259,2.71,2.52,2.92,0.99
2003,27948,786,337,2.81,2.62,3.01,1.21
2004,29336,892,338,3.04,2.85,3.24,1.15
2005,30564,1011,389,3.31,3.11,3.51,1.27
2006,31416,1091,407,3.47,3.28,3.68,1.3
2007,33713,1281,530,3.8,3.6,4.01,1.57
2008,34999,1429,602,4.08,3.88,4.3,1.72
2009,37528,1708,702,4.55,4.35,4.77,1.87
2010,41513,1996,851,4.81,4.61,5.02,2.05
2011,40562,2365,1004,5.83,5.61,6.06,2.48
2012,44698,2970,1350,6.64,6.42,6.88,3.02
2013,45414,3577,1651,7.88,7.63,8.13,3.64
2014,50374,4577,2237,9.09,8.84,9.34,4.44
2015,54150,5764,2983,10.64,10.39,10.91,5.51
2016,52472,6987,3903,13.32,13.03,13.61,7.44
2017,53401,7922,4571,14.83,14.54,15.14,8.56
2018,50542,8038,4658,15.9,15.59,16.23,9.22
2019,44522,7568,4250,17.0,16.65,17.35,9.55
2020,43043,7449,4103,17.31,16.95,17.67,9.53
2021,35978,6812,3744,18.93,18.53,19.34,10.41
2022,22800,5818,3174,25.52,24.96,26.09,13.92
2023,17947,7812,4587,43.53,42.8,44.25,25.56
2024,10562,5534,3248,52.4,51.44,53.35,30.75
2025,2531,1492,817,58.95,57.02,60.85,32.28
2026,16,11,3,68.75,44.4,85.84,18.75
