year,ai_firms,countries,hhi_ai,hhi_all,entropy_ai,entropy_all,us_share,top5_share
2000,866,59,0.1903,0.1491,2.6187,2.8474,41.34,62.7
2001,759,58,0.2035,0.1753,2.6015,2.7488,43.21,63.77
2002,700,63,0.2255,0.1706,2.5192,2.7693,45.71,66.71
2003,780,58,0.18,0.1645,2.6927,2.7894,40.26,61.41
2004,879,57,0.1865,0.163,2.6205,2.8013,40.73,63.94
2005,994,61,0.1872,0.1596,2.6853,2.8446,41.25,61.57
2006,1072,70,0.1766,0.1581,2.7641,2.8452,39.93,61.57
2007,1269,71,0.1784,0.1577,2.7873,2.8618,40.43,59.42
2008,1411,72,0.1704,0.1623,2.7589,2.8348,39.05,59.67
2009,1679,77,0.1871,0.1712,2.6783,2.7812,40.86,65.04
2010,1946,78,0.1806,0.1651,2.718,2.8131,40.18,63.1
2011,2329,72,0.2059,0.1648,2.5644,2.8095,43.24,66.55
2012,2929,76,0.2107,0.169,2.5874,2.7988,44.01,65.86
2013,3520,88,0.2112,0.165,2.6166,2.829,44.15,65.43
2014,4488,93,0.191,0.1655,2.6771,2.8239,41.53,64.42
2015,5614,94,0.1827,0.161,2.6614,2.8268,40.01,66.33
2016,6788,95,0.16,0.1567,2.8214,2.8611,37.32,61.74
2017,7698,103,0.1553,0.1605,2.8734,2.8634,36.79,60.37
2018,7871,114,0.1598,0.1629,2.8637,2.8499,37.49,60.23
2019,7390,110,0.169,0.1695,2.8257,2.8177,38.76,61.37
2020,7263,106,0.1929,0.1786,2.7123,2.7562,41.88,64.11
2021,6595,102,0.2087,0.1795,2.6226,2.7536,43.79,65.66
2022,5572,91,0.2661,0.2244,2.3883,2.5823,50.27,69.62
2023,7110,99,0.3424,0.2923,2.1129,2.3104,57.59,75.98
2024,4917,81,0.4377,0.3701,1.7984,2.0312,65.61,79.93
2025,1444,43,0.7255,0.6088,0.8682,1.2491,85.04,92.17
