startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
StartX Logo,,https://web.startx.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
1Climate Logo 01 zoomed,,https://1climate.app/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
2rblogo 2x,,http://www.2redbeans.com/en/chinese-dating/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
Copy of 3YOURMIND Logo,,http://3yourmind.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
stringio,,http://www.6dot.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
open uri20141220 5883 1l6h72x?1548977993,,http://accevia.wordpress.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
AccuraGen,,http://www.accuragen.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
open uri20141220 5883 enida2?1548977998,,http://www.adhusky.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:41:25
1Climate Logo 01,,https://1climate.app/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
2rblogo,,http://www.2redbeans.com/en/chinese-dating/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
3YOURMIND,,http://3yourmind.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Advent Logo FA col vert,,http://adventaccess.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
AerialIntel Logo Text Color %281%29 %281%29,,http://www.aerialintel.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
aether,,https://www.aetherbiomedical.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
afresh,,http://afreshtechnologies.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Agathos %28main logo trans%29,,https://www.agathos.io,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
AgriWebb,,http://www.agriwebb.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
AiFi,,http://www.aifi.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
AKOYA Bio   R   Logo   Standard,,http://www.akoyabio.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
Alariss%28AI%29,,https://www.alariss.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
alation logo 2015 01 5 w,,https://alation.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
Alchemy WorkInTech,,https://www.alchemynano.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
DTL,,https://alchemy.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Sentinel final logo RGB,,http://www.alertive.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:42:49
1Climate,,https://1climate.app/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Advent FA,,http://adventaccess.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
AerialIntel,,http://www.aerialintel.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Agathos,,https://www.agathos.io,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
AKOYA Bio R,,http://www.akoyabio.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Alariss,,https://www.alariss.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
alation 01 5,,https://alation.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Sentinel RGB,,http://www.alertive.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Alesca Life,,https://www.alescalife.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
ALICE,,http://alicetechnologies.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
AC large,,https://www.alignedcarbon.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Logo 04,,http://www.alixia.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Allday stacked,,https://sprayalldayenergy.com/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Ambient,,http://ambient.ai/,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
amigocloud,,https://www.amigocloud.com/homepage/index,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Ampervue,,http://www.ampervue.com,,Stanford/Bay Area,,,StartX,,,,,,StartX,False,0.0,2026-02-06 20:43:35
Vom,,https://skydeck.berkeley.edu/companies/vom/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
VoiceBit,,https://skydeck.berkeley.edu/companies/voicebit/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
SplitSecure,,https://skydeck.berkeley.edu/companies/splitsecure/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
Scam AI,,https://skydeck.berkeley.edu/companies/scam-ai/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,True,0.2,2026-02-07 14:46:58
Satsurance,,https://skydeck.berkeley.edu/companies/satsurance/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
Rescope,,https://skydeck.berkeley.edu/companies/rescope/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
ReIGNITE Therapeutics Inc,,https://skydeck.berkeley.edu/companies/reignite-therapeutics-inc/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
PYRAMYD,,https://skydeck.berkeley.edu/companies/pyramyd/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
Ludwig Computing,,https://skydeck.berkeley.edu/companies/ludwig-computing/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,False,0.0,2026-02-07 14:46:58
Hominy AI,,https://skydeck.berkeley.edu/companies/hominy-ai/,,Berkeley/Bay Area,,,Berkeley SkyDeck,,,,,,Berkeley SkyDeck,True,0.2,2026-02-07 14:46:58
