university,short_name,domain,state,has_program,program_name,program_url,portfolio_url,discovery_method,confidence,notes,checked_date
Arizona State University,asu,asu.edu,AZ,YES,Arizona State University Innovation,https://innovation.asu.edu,,url_pattern,MEDIUM,"Found 4 innovation URLs, no portfolio found",2026-02-24
Brown University,brown,brown.edu,RI,YES,Brown University Entrepreneurship,https://entrepreneurship.brown.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
California Institute of Technology,caltech,caltech.edu,CA,YES,California Institute of Technology Innovation,https://innovation.caltech.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Carnegie Mellon University,cmu,cmu.edu,PA,YES,Carnegie Mellon University Innovation,https://innovation.cmu.edu,,url_pattern,MEDIUM,"Found 3 innovation URLs, no portfolio found",2026-02-24
Case Western Reserve University,case,case.edu,OH,YES,Case Western Reserve University Entrepreneurship,https://www.case.edu/entrepreneurship,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Colorado State University,colostate,colostate.edu,CO,YES,Colorado State University Innovation,https://innovation.colostate.edu,,url_pattern,MEDIUM,"Found 2 innovation URLs, no portfolio found",2026-02-24
Columbia University,columbia,columbia.edu,NY,YES,Columbia Startup Lab,https://entrepreneurship.columbia.edu/startup-lab,,known_database,HIGH,Known program without API,2026-02-24
Duke University,duke,duke.edu,NC,YES,Duke University Entrepreneurship,https://entrepreneurship.duke.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Emory University,emory,emory.edu,GA,YES,Emory University Entrepreneurship,https://entrepreneurship.emory.edu,https://entrepreneurship.emory.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Georgetown University,georgetown,georgetown.edu,DC,YES,Georgetown University Entrepreneurship,https://entrepreneurship.georgetown.edu,https://entrepreneurship.georgetown.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Georgia Institute of Technology,gatech,gatech.edu,GA,YES,Georgia Institute of Technology Innovation,https://innovation.gatech.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Harvard University,harvard,harvard.edu,MA,YES,Harvard University Innovation,https://www.harvard.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Illinois Institute of Technology,iit,iit.edu,IL,YES,Illinois Institute of Technology Innovation,https://innovation.iit.edu,https://innovation.iit.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Indiana University,indiana,indiana.edu,IN,YES,Indiana University Innovation,https://www.indiana.edu/innovation,https://www.indiana.edu/innovation/portfolio,url_pattern,HIGH,"Found 3 innovation URLs, has portfolio",2026-02-24
Lehigh University,lehigh,lehigh.edu,PA,YES,Lehigh University Entrepreneurship,https://entrepreneurship.lehigh.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Louisiana State University,lsu,lsu.edu,LA,YES,Louisiana State University Innovation,https://www.lsu.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Massachusetts Institute of Technology,mit,mit.edu,MA,YES,MIT Sandbox,https://innovation.mit.edu/sandbox,,known_database,HIGH,Known program without API,2026-02-24
